assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_004564175.1	PRJNA224116	SAMN04096281	na	na	na	na	562	562	Escherichia coli	strain=103	na	latest	Complete Genome	Major	Full	2019-04-02	ASM456417v1		GCA_004564175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/564/175/GCF_004564175.1_ASM456417v1	./../Escherichia/GCF_004564175.1_ASM456417v1_genomic.fna.gz
GCF_004759025.1	PRJNA224116	SAMN08963308	na	na	na	na	562	562	Escherichia coli	strain=28Eco12	na	latest	Complete Genome	Major	Full	2019-04-09	ASM475902v1		GCA_004759025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/759/025/GCF_004759025.1_ASM475902v1	./../Escherichia/GCF_004759025.1_ASM475902v1_genomic.fna.gz
GCF_004771235.1	PRJNA224116	SAMN11333172	na	na	na	na	562	562	Escherichia coli	strain=PF9285	na	latest	Complete Genome	Major	Full	2019-04-11	ASM477123v1		GCA_004771235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/771/235/GCF_004771235.1_ASM477123v1	./../Escherichia/GCF_004771235.1_ASM477123v1_genomic.fna.gz
GCF_004792495.1	PRJNA224116	SAMN11268910	na	na	na	na	562	562	Escherichia coli	strain=PigCaeca_2	na	latest	Complete Genome	Major	Full	2019-04-14	ASM479249v1		GCA_004792495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/792/495/GCF_004792495.1_ASM479249v1	./../Escherichia/GCF_004792495.1_ASM479249v1_genomic.fna.gz
GCF_004801575.1	PRJNA224116	SAMN11268909	na	na	na	na	562	562	Escherichia coli	strain=PigCaeca_1	na	latest	Complete Genome	Major	Full	2019-04-21	ASM480157v1		GCA_004801575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/801/575/GCF_004801575.1_ASM480157v1	./../Escherichia/GCF_004801575.1_ASM480157v1_genomic.fna.gz
GCF_004804185.1	PRJNA224116	SAMN11266496	na	na	na	na	562	562	Escherichia coli	strain=377323_2f	na	latest	Complete Genome	Major	Full	2019-04-23	ASM480418v1		GCA_004804185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/804/185/GCF_004804185.1_ASM480418v1	./../Escherichia/GCF_004804185.1_ASM480418v1_genomic.fna.gz
GCF_004804205.1	PRJNA224116	SAMN11266257	na	na	na	na	562	562	Escherichia coli	strain=382634_2f	na	latest	Complete Genome	Major	Full	2019-04-23	ASM480420v1		GCA_004804205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/804/205/GCF_004804205.1_ASM480420v1	./../Escherichia/GCF_004804205.1_ASM480420v1_genomic.fna.gz
GCF_004924255.1	PRJNA224116	SAMN11087650	na	na	na	na	562	562	Escherichia coli	strain=YSP8-1	na	latest	Complete Genome	Major	Full	2019-04-30	ASM492425v1		GCA_004924255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/924/255/GCF_004924255.1_ASM492425v1	./../Escherichia/GCF_004924255.1_ASM492425v1_genomic.fna.gz
GCF_004924275.1	PRJNA224116	SAMN11087649	na	na	na	na	562	562	Escherichia coli	strain=LHM10-1	na	latest	Complete Genome	Major	Full	2019-04-30	ASM492427v1		GCA_004924275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/924/275/GCF_004924275.1_ASM492427v1	./../Escherichia/GCF_004924275.1_ASM492427v1_genomic.fna.gz
GCF_004924355.1	PRJNA224116	SAMN11180601	na	na	na	na	562	562	Escherichia coli	strain=G3X16-2	na	latest	Complete Genome	Major	Full	2019-04-30	ASM492435v1		GCA_004924355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/924/355/GCF_004924355.1_ASM492435v1	./../Escherichia/GCF_004924355.1_ASM492435v1_genomic.fna.gz
GCF_005156265.1	PRJNA224116	SAMN11283108	na	na	na	na	562	562	Escherichia coli	strain=EC-129	na	latest	Complete Genome	Major	Full	2019-05-06	ASM515626v1		GCA_005156265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/156/265/GCF_005156265.1_ASM515626v1	./../Escherichia/GCF_005156265.1_ASM515626v1_genomic.fna.gz
GCF_005221505.1	PRJNA224116	SAMN08773055	na	na	na	na	562	562	Escherichia coli	strain=150	na	latest	Complete Genome	Major	Full	2019-05-07	ASM522150v1		GCA_005221505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/505/GCF_005221505.1_ASM522150v1	./../Escherichia/GCF_005221505.1_ASM522150v1_genomic.fna.gz
GCF_005221525.1	PRJNA224116	SAMN08773052	na	na	na	na	562	562	Escherichia coli	strain=147	na	latest	Complete Genome	Major	Full	2019-05-07	ASM522152v1		GCA_005221525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/525/GCF_005221525.1_ASM522152v1	./../Escherichia/GCF_005221525.1_ASM522152v1_genomic.fna.gz
GCF_005221545.1	PRJNA224116	SAMN08773053	na	na	na	na	562	562	Escherichia coli	strain=148	na	latest	Complete Genome	Major	Full	2019-05-07	ASM522154v1		GCA_005221545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/545/GCF_005221545.1_ASM522154v1	./../Escherichia/GCF_005221545.1_ASM522154v1_genomic.fna.gz
GCF_005221565.1	PRJNA224116	SAMN08773054	na	na	na	na	562	562	Escherichia coli	strain=149	na	latest	Complete Genome	Major	Full	2019-05-07	ASM522156v1		GCA_005221565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/565/GCF_005221565.1_ASM522156v1	./../Escherichia/GCF_005221565.1_ASM522156v1_genomic.fna.gz
GCF_005221585.1	PRJNA224116	SAMN08773051	na	na	na	na	562	562	Escherichia coli	strain=144	na	latest	Complete Genome	Major	Full	2019-05-07	ASM522158v1		GCA_005221585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/585/GCF_005221585.1_ASM522158v1	./../Escherichia/GCF_005221585.1_ASM522158v1_genomic.fna.gz
GCF_005221605.1	PRJNA224116	SAMN08773048	na	na	na	na	562	562	Escherichia coli	strain=141	na	latest	Complete Genome	Major	Full	2019-05-07	ASM522160v1		GCA_005221605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/605/GCF_005221605.1_ASM522160v1	./../Escherichia/GCF_005221605.1_ASM522160v1_genomic.fna.gz
GCF_005221625.1	PRJNA224116	SAMN08773044	na	na	na	na	562	562	Escherichia coli	strain=137	na	latest	Complete Genome	Major	Full	2019-05-07	ASM522162v1		GCA_005221625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/625/GCF_005221625.1_ASM522162v1	./../Escherichia/GCF_005221625.1_ASM522162v1_genomic.fna.gz
GCF_005221645.1	PRJNA224116	SAMN08773043	na	na	na	na	562	562	Escherichia coli	strain=136	na	latest	Complete Genome	Major	Full	2019-05-07	ASM522164v1		GCA_005221645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/645/GCF_005221645.1_ASM522164v1	./../Escherichia/GCF_005221645.1_ASM522164v1_genomic.fna.gz
GCF_005221665.1	PRJNA224116	SAMN08773042	na	na	na	na	562	562	Escherichia coli	strain=135	na	latest	Complete Genome	Major	Full	2019-05-07	ASM522166v1		GCA_005221665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/665/GCF_005221665.1_ASM522166v1	./../Escherichia/GCF_005221665.1_ASM522166v1_genomic.fna.gz
GCF_005221685.1	PRJNA224116	SAMN08773041	na	na	na	na	562	562	Escherichia coli	strain=134	na	latest	Complete Genome	Major	Full	2019-05-07	ASM522168v1		GCA_005221685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/685/GCF_005221685.1_ASM522168v1	./../Escherichia/GCF_005221685.1_ASM522168v1_genomic.fna.gz
