assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_046605585.1	PRJNA224116	SAMN45949205	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=PY0607	na	latest	Complete Genome	Major	Full	2025-01-14	ASM4660558v1		GCA_046605585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/046/605/585/GCF_046605585.1_ASM4660558v1	./Development/ThreeFold/data/external/Citrobacter/GCF_046605585.1_ASM4660558v1_genomic.fna.gz
GCF_900636015.1	PRJNA224116	SAMEA3368333	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=NCTC11104	na	latest	Complete Genome	Major	Full	2018-12-20	38490_A01		GCA_900636015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/015/GCF_900636015.1_38490_A01	./Development/ThreeFold/data/external/Citrobacter/GCF_900636015.1_38490_A01_genomic.fna.gz
GCF_001034475.2	PRJNA224116	SAMN03280163	na	na	na	na	1686378	1686378	Citrobacter sp. MGH103	strain=MGH103	na	latest	Complete Genome	Major	Full	2021-05-06	ASM103447v3		GCA_001034475.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/475/GCF_001034475.2_ASM103447v3	./Development/ThreeFold/data/external/Citrobacter/GCF_001034475.2_ASM103447v3_genomic.fna.gz
GCF_001037485.2	PRJNA224116	SAMN03280165	na	na	na	na	1686380	1686380	Citrobacter sp. MGH105	strain=MGH105	na	latest	Complete Genome	Major	Full	2021-05-06	ASM103748v3		GCA_001037485.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/037/485/GCF_001037485.2_ASM103748v3	./Development/ThreeFold/data/external/Citrobacter/GCF_001037485.2_ASM103748v3_genomic.fna.gz
GCF_001037585.2	PRJNA224116	SAMN03280170	na	na	na	na	1686385	1686385	Citrobacter sp. BIDMC108	strain=BIDMC108	na	latest	Complete Genome	Major	Full	2021-04-27	ASM103758v2		GCA_001037585.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/037/585/GCF_001037585.2_ASM103758v2	./Development/ThreeFold/data/external/Citrobacter/GCF_001037585.2_ASM103758v2_genomic.fna.gz
GCF_001559235.2	PRJNA224116	SAMN03996300	na	na	na	na	1702170	1702170	Citrobacter sp. FDAARGOS_156	strain=FDAARGOS_155	na	latest	Complete Genome	Major	Full	2018-02-23	ASM155923v2		GCA_001559235.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/235/GCF_001559235.2_ASM155923v2	./Development/ThreeFold/data/external/Citrobacter/GCF_001559235.2_ASM155923v2_genomic.fna.gz
GCF_003204265.1	PRJNA224116	SAMN04014998	na	na	na	na	1703250	1703250	Citrobacter sp. CRE-46	strain=AR_0157	na	latest	Complete Genome	Major	Full	2018-06-10	ASM320426v1		GCA_003204265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/204/265/GCF_003204265.1_ASM320426v1	./Development/ThreeFold/data/external/Citrobacter/GCF_003204265.1_ASM320426v1_genomic.fna.gz
GCF_022558585.1	PRJNA224116	SAMN15666291	na	na	na	na	1748967	1748967	Citrobacter cronae	strain=S175-1	na	latest	Complete Genome	Major	Full	2022-03-14	ASM2255858v1		GCA_022558585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/558/585/GCF_022558585.1_ASM2255858v1	./Development/ThreeFold/data/external/Citrobacter/GCF_022558585.1_ASM2255858v1_genomic.fna.gz
GCF_041319875.1	PRJNA224116	SAMN29495182	na	na	na	na	1748967	1748967	Citrobacter cronae	strain=OT130	na	latest	Complete Genome	Major	Full	2024-08-18	ASM4131987v1		GCA_041319875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/319/875/GCF_041319875.1_ASM4131987v1	./Development/ThreeFold/data/external/Citrobacter/GCF_041319875.1_ASM4131987v1_genomic.fna.gz
GCF_041319905.1	PRJNA224116	SAMN29495186	na	na	na	na	1748967	1748967	Citrobacter cronae	strain=OT154	na	latest	Complete Genome	Major	Full	2024-08-18	ASM4131990v1		GCA_041319905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/319/905/GCF_041319905.1_ASM4131990v1	./Development/ThreeFold/data/external/Citrobacter/GCF_041319905.1_ASM4131990v1_genomic.fna.gz
