assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_020215625.1	PRJNA224116	SAMN20114092	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC12_S471M	na	latest	Complete Genome	Major	Full	2021-10-02	ASM2021562v1		GCA_020215625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/215/625/GCF_020215625.1_ASM2021562v1	./Klebsiella/GCF_020215625.1_ASM2021562v1_genomic.fna.gz
GCF_021442005.1	PRJNA224116	SAMN24571286	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=KPN857	na	latest	Complete Genome	Major	Full	2022-01-12	ASM2144200v1		GCA_021442005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/442/005/GCF_021442005.1_ASM2144200v1	./Klebsiella/GCF_021442005.1_ASM2144200v1_genomic.fna.gz
GCF_022592575.1	PRJNA224116	SAMN20294500	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=T698-1	na	latest	Complete Genome	Major	Full	2022-03-16	ASM2259257v1		GCA_022592575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/592/575/GCF_022592575.1_ASM2259257v1	./Klebsiella/GCF_022592575.1_ASM2259257v1_genomic.fna.gz
GCF_022870645.1	PRJNA224116	SAMN16770105	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=HS20R14	HS20R14	latest	Complete Genome	Major	Full	2022-04-11	ASM2287064v1		GCA_022870645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/870/645/GCF_022870645.1_ASM2287064v1	./Klebsiella/GCF_022870645.1_ASM2287064v1_genomic.fna.gz
GCF_023066605.1	PRJNA224116	SAMN22822729	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=DD01304	na	latest	Complete Genome	Major	Full	2022-04-20	ASM2306660v1		GCA_023066605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/066/605/GCF_023066605.1_ASM2306660v1	./Klebsiella/GCF_023066605.1_ASM2306660v1_genomic.fna.gz
GCF_023066625.1	PRJNA224116	SAMN22822728	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=DD02172	na	latest	Complete Genome	Major	Full	2022-04-20	ASM2306662v1		GCA_023066625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/066/625/GCF_023066625.1_ASM2306662v1	./Klebsiella/GCF_023066625.1_ASM2306662v1_genomic.fna.gz
GCF_023066645.1	PRJNA224116	SAMN22822727	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=DD02162	na	latest	Complete Genome	Major	Full	2022-04-20	ASM2306664v1		GCA_023066645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/066/645/GCF_023066645.1_ASM2306664v1	./Klebsiella/GCF_023066645.1_ASM2306664v1_genomic.fna.gz
GCF_023066665.1	PRJNA224116	SAMN22822726	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=DD02280	na	latest	Complete Genome	Major	Full	2022-04-20	ASM2306666v1		GCA_023066665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/066/665/GCF_023066665.1_ASM2306666v1	./Klebsiella/GCF_023066665.1_ASM2306666v1_genomic.fna.gz
GCF_023066685.1	PRJNA224116	SAMN22822725	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=DD02341	na	latest	Complete Genome	Major	Full	2022-04-20	ASM2306668v1		GCA_023066685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/066/685/GCF_023066685.1_ASM2306668v1	./Klebsiella/GCF_023066685.1_ASM2306668v1_genomic.fna.gz
GCF_023066705.1	PRJNA224116	SAMN22822724	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=DD02297	na	latest	Complete Genome	Major	Full	2022-04-20	ASM2306670v1		GCA_023066705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/066/705/GCF_023066705.1_ASM2306670v1	./Klebsiella/GCF_023066705.1_ASM2306670v1_genomic.fna.gz
GCF_023066725.1	PRJNA224116	SAMN22822723	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=DD02391	na	latest	Complete Genome	Major	Full	2022-04-20	ASM2306672v1		GCA_023066725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/066/725/GCF_023066725.1_ASM2306672v1	./Klebsiella/GCF_023066725.1_ASM2306672v1_genomic.fna.gz
GCF_023066745.1	PRJNA224116	SAMN22822722	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=DD01754	na	latest	Complete Genome	Major	Full	2022-04-20	ASM2306674v1		GCA_023066745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/066/745/GCF_023066745.1_ASM2306674v1	./Klebsiella/GCF_023066745.1_ASM2306674v1_genomic.fna.gz
